"Artist Name","Title","Location","Internal/External","Details","Medium","Size"
"Stuart Denyer","Harlowbury Chapel","Gibberd Gallery, Civic Centre","Internal","Signed, inscribed and dated 1986","Watercolour over pencil","17cm x 28.5cm"
"Wiliam Dring, RA","Nantgwynant","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’77 lower left","Watercolour","33cm x 45cm"
"Peter Coker, RA","St Balise, Mezieres au Perche","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Pencil, coloured crayon and wash","54.5 cm x 75cm"
"Edward Bawden, CBE, RA ","Craigievar Castle 3","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Pen and ink, pencil and watercolour","49.5cm x 45.5cm"
"William Roberts, RA","Fishermen ","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Pencil and gouache","45.5cm x 34.3cm"
"Graham Sutherland, OM","Study No. 321 for the Origins of Land","Gibberd Gallery, Civic Centre","Internal","Signed top left and dated 1950 lower right","Pencil, coloured chalks, pen and ink","23cm x 35.5cm"
"John Piper, CH","Near Rochelle","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Coloured crayon, Indian ink and wash","56cm x 73.7cm"
"Brian Wynter ","Coastal Landscape","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’53 lower left","Gouache on buff paper","35cm x 31cm"
"Alan Reynolds","Studies for Paintings Oats II","Gibberd Gallery, Civic Centre","Internal","Signed, inscribed and dated ’58 lower right","Pen, ink and wash","37cm x 22.2cm"
"Anne Redpath, RA ","Tulips in a Blue Jar","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Watercolour and black chalk","54.5cm x 76.2cm"
"Anthony Gross, CBE, RA  ","Stream","Gibberd Gallery, Civic Centre","Internal","Signed lower left","Pen, ink and wash","40.5cm x 49.5cm"
"Stuart Denyer  ","Still Life with Figure","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’81 lower left","Pastel, pen and ink","53cm x 28cm"
"John Piper, CH ","La Couvertoirade","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Pen, brush, Indian ink and gouache","34.3cm x 52cm"
"Michael Rothenstein, RA","Four Designs","Gibberd Gallery, Civic Centre","Internal","Signed and dated ‘48","Pen and Indian ink, watercolour and coloured chalks","47.6cm x 37.5cm "
"Elizabeth Blackadder, RA  ","Hillside Traquair","Gibberd Gallery, Civic Centre","Internal","Signed and dated 1972 lower right","Watercolour and collage","66cm x 101.5cm"
"John Nash, RA    ","Deer Fence, Skye","Gibberd Gallery, Civic Centre","Internal","Signed lower right and lower left","Watercolour and coloured chalk","50cm x 43.8cm"
"Edward Bawden, RA ","Quarry at Pengwern Llanrwst","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Watercolour, pen and ink","49cm x 64cm"
"Norman Adams, RA   ","Gannets Diving    ","Gibberd Gallery, Civic Centre","Internal","Signed with initials and dated ’69 lower right and inscribed lower left","Watercolour","24cm x 30.5cm"
"Howard Davis   ","Storm off Holkham Bay, Norfolk","Gibberd Gallery, Civic Centre","Internal","Signed with initials lower right","Watercolour","32cm x 56cm"
"David Atkins             ","Hedge Entrance","Gibberd Gallery, Civic Centre","Internal","Signed with initials, inscribed and dated August 1976","Watercolour","33.5cm x 52.7cm"
"Richard Shirley Smith  ","Fatal Allegations","Gibberd Gallery, Civic Centre","Internal","Signed and dated 1976 top right","Watercolour","45.7cm x 61cm"
"Anne Kilvington      ","Garden Through Net Curtains 1","Gibberd Gallery, Civic Centre","Internal",,"Gouache","40.6cm x 58.4cm"
"Anne Kilvington","Garden Through Net Curtains 2","Gibberd Gallery, Civic Centre","Internal",,"Gouache","16.5cm x 60cm"
"Sir Hugh Casson CH, KCVO, PPRA  ","Stables, Meknes","Gibberd Gallery, Civic Centre","Internal",,"Watercolour and pencil","13.3cm x 8cm"
"Sir Hugh Casson CH, KCVO, PPRA","Lookout, Herakleion","Gibberd Gallery, Civic Centre","Internal","Signed with initials lower right",,"10.8cm x 17cm"
"Roland Vivian Pitchforth, RA ","Wet Road","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Watercolour","40cm x 55cm"
"Len Tabner       ","South Fare Basin looking down towards Chatham","Gibberd Gallery, Civic Centre","Internal","Signed, inscribed and dated 30 Nov 1980 lower left","Watercolour heightened with gouache and black chalk","76.2 cm x 132cm"
"Rowland Suddaby  ","Autumn Landscape","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’44 lower right","Watercolour, Indian ink and gouache","39.4cm x 54cm"
"Frederick Uhlman   ","Port Madoc","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Colour wash and Indian ink","24cm x 34cm"
"Mary Kessel  ","Evening, Kew Gardens","Gibberd Gallery, Civic Centre","Internal","Signed lower left","Pen and Indian ink and wash","16cm x 34.3cm"
"Victoria Crowe","Arcadia Disturbed","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’79 lower right","Mixed media and collage","73.7cm x 94cm"
"Stuart Denyer","Towards the Front Door, Marsh Lane – Westwards along the Terrace","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’85 lower right","Watercolour","50.8cm x 71cm"
"Leonard Rosoman, RA   ","A Fanasy, Disraeli ","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Gouache over pencil","26cm x 42cm"
"Leonard Rosoman, RA   ","Dickens in Mecklenburgh Square","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Gouache over pencil","26cm x 42cm"
"Betty Swanwick, RA           ","The Rooks","Gibberd Gallery, Civic Centre","Internal",,"Watercolour over pencil","53.5cm x 60cm"
"Anthony Gross, CBE, RA     ","13 th Century Church at Coulourges","Gibberd Gallery, Civic Centre","Internal","Signed and dated 1977 lower left","Pen, ink and watercolour","38.7cm 56cm"
"Kenneth Rowntree  ","Lamp and Log Shed","Gibberd Gallery, Civic Centre","Internal","Signed lower left","Pen, ink and watercolour","25.4cm x 49.5cm"
"John Nash, RA              ","Penawell Cove","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’69 lower left","Watercolour","40cm x 55cm"
"John Nash, RA      ","Landscape near Hadleigh","Gibberd Gallery, Civic Centre","Internal","Signed lower left","Watercolour","36.8cm x 54.6cm"
"Dame Laura Knight, RA      ","Members of the Diaghilev Ballet","Gibberd Gallery, Civic Centre","Internal","Signed and dated 1960 lower right","Pencil and wash","56cm x 39cm"
"Gertrude Hermes, RA      ","Two Studies","Gibberd Gallery, Civic Centre","Internal","A pair, in common frame, both signed and dated 1958 lower right ","Pen and Indian ink on buff paper","39.5cm x 52cm"
"Prunella Clough       ","Hedge/ Fence","Gibberd Gallery, Civic Centre","Internal",,"Watercolour over pencil","14cm x 22.2cm"
"Elizabeth Blackadder, RA ","Honfleur","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’79 lower left","Pencil and coloured crayon","39.5cm x 58.5cm"
