"CITY","COUNTRY","Browser","Operating_System","Country_Code","Date"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Sydney","Australia","--","--","AU","Dec 12, 2011 4:22 AM"
"Castle Hill","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Coburg","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Sydney","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Sydney","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
"Sydney","Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:25 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:26 PM"
,"Australia","--","--","AU","Feb 28, 2011 2:26 PM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Australia","--","--","AU","Sep 6, 2011 9:39 AM"
,"Belgium","--","--","BE","Feb 28, 2011 2:25 PM"
,"Brazil","--","--","BR","Feb 28, 2011 2:25 PM"
,"Bulgaria","--","--","BG","Sep 6, 2011 9:39 AM"
,"Bulgaria","--","--","BG","Sep 6, 2011 9:39 AM"
,"Canada","--","--","CA","Sep 6, 2011 5:08 PM"
,"Canada","--","--","CA","Sep 6, 2011 5:09 PM"
,"Canada","--","--","CA","Sep 6, 2011 9:39 AM"
,"Canada","--","--","CA","Sep 6, 2011 9:39 AM"
,"Canada","--","--","CA","Sep 6, 2011 9:39 AM"
"Bogota DC","Colombia","--","--","CO","Feb 28, 2011 2:25 PM"
"Pisarov","Czech Republic","--","--","CZ","Feb 28, 2011 2:25 PM"
,"Czech Republic","--","--","CZ","Sep 6, 2011 9:39 AM"
,"Denmark","--","--","DK","Feb 28, 2011 2:25 PM"
,"Denmark","--","--","DK","Feb 28, 2011 2:25 PM"
,"Finland","--","--","FI","Sep 6, 2011 9:39 AM"
"Antony","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Avignon","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Paris","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Paris","France","--","--","FR","Feb 28, 2011 2:25 PM"
"Pauilhac","France","--","--","FR","Feb 28, 2011 2:25 PM"
,"France","--","--","FR","Feb 28, 2011 2:25 PM"
,"France","--","--","FR","Sep 6, 2011 9:39 AM"
,"Germany","--","--","DE","Sep 6, 2011 9:39 AM"
"Athens","Greece","--","--","GR","Feb 28, 2011 2:26 PM"
,"Hong Kong","--","--","HK","Sep 6, 2011 9:39 AM"
"Hellissandur","Iceland","--","--","IS","Feb 28, 2011 2:25 PM"
"Reykjavík","Iceland","--","--","IS","Feb 28, 2011 2:26 PM"
"dublin 2","Ireland","--","--","IE","Feb 28, 2011 2:25 PM"
