"url","type","date","title","contributor","wordcount","viewcount"
"http://www.lrb.co.uk/2002/05/15/war-on-terror-writers/the-war-on-terrorism-is-there-an-alternative","article","15 May 2002","The War on Terrorism: Is There an Alternative?","","","1611"
"http://www.lrb.co.uk/2008/09/23/david-edgar/who-will-lose","book review","23 September 2008","Who Will Lose?","David Edgar","","1211"
"http://www.lrb.co.uk/2008/10/10/slavoj-zizek/dont-just-do-something-talk","essay","10 October 2008","Don’t Just Do Something, Talk: the financial crisis","Slavoj Žižek","","7745"
"http://www.lrb.co.uk/2008/10/13/david-edgar/has-anyone-lost-yet","essay","13 October 2008","Has Anyone Lost Yet?: the US election debates","David Edgar","","1098"
"http://www.lrb.co.uk/2008/10/16/david-edgar/who-lost","essay","16 October 2008","Who Lost?: the third presidential debate","David Edgar","","1159"
"http://www.lrb.co.uk/2008/11/14/slavoj-zizek/use-your-illusions","essay","14 November 2008","Use Your Illusions: Obama’s Victory and the Financial Meltdown","Slavoj Žižek","","15426"
"http://www.lrb.co.uk/2009/01/14/ilan-pappe/israels-message","essay","14 January 2009","Israel’s Message: Gaza","Ilan Pappe","","3953"
"http://www.lrb.co.uk/2009/03/28/laurence-scott/jade-goody-goes-to-heaven","essay","28 March 2009","Jade Goody Goes to Heaven: <em>OK!</em> and the uncanny","Laurence Scott","","1061"
"http://www.lrb.co.uk/2010/04/19/tariq-ali/obamas-war","article","19 April 2010","Obama’s War","Tariq Ali","","12203"
"http://www.lrb.co.uk/2010/04/21/jacqueline-rose/jaccuse-dreyfus-in-our-time","article","21 April 2010","J’accuse: Dreyfus in Our Time","Jacqueline Rose","","10297"
"http://www.lrb.co.uk/2010/04/24/spring-events-ny/the-author-in-the-age-of-the-internet","article","24 April 2010","The Author in the Age of the Internet","","","9229"
"http://www.lrb.co.uk/2011/02/19/adam-shatz/after-egypt","essay","19 February 2011","After Egypt","Adam Shatz","","10033"
"http://www.lrb.co.uk/2011/03/18/rory-stewart/here-we-go-again","essay","18 March 2011","Here we go again","Rory Stewart","","6046"
"http://www.lrb.co.uk/2011/03/23/brian-dillon/at-the-mk","exhibition review","23 March 2011","At the MK","Brian Dillon","","1296"
"http://www.lrb.co.uk/2011/05/19/donald-mackenzie/how-to-make-money-in-microseconds","essay","19 May 2011","How to Make Money in Microseconds","Donald MacKenzie","","44704"
"http://www.lrb.co.uk/2011/06/07/jacqueline-rose/an-interview-with-jacqueline-rose","interview","7 June 2011","An Interview with Jacqueline Rose","Jacqueline Rose","","1985"
"http://www.lrb.co.uk/2011/06/15/alan-bennett/primrose-hill-lectures-2011","article","15 June 2011","Primrose Hill Lectures 2011 on libraries","Alan Bennett","","3288"
"http://www.lrb.co.uk/2011/08/19/slavoj-zizek/shoplifters-of-the-world-unite","essay","19 August 2011","Shoplifters of the World Unite","Slavoj Žižek","","150639"
"http://www.lrb.co.uk/2011/12/16/rachel-malik/universities-under-attack","essay","16 December 2011","Universities under Attack","Rachel Malik","","8404"
"http://www.lrb.co.uk/2012/03/01/jonathan-littell/syrian-notebooks","essay","1 March 2012","Syrian Notebooks","Jonathan Littell","","9130"
"http://www.lrb.co.uk/2012/05/02/daljit-nagra/two-poems","article","2 May 2012","Two Poems","Daljit Nagra","","832"
"http://www.lrb.co.uk/2012/05/23/vladimir-nabokov/the-university-poem","poem","23 May 2012","Poem: ‘The University Poem’","Vladimir Nabokov","","3656"
