"isbn","title","authors","publisher","pages","date","format","article"
"","3.10 to Yuma","directed by Delmer Daves","","","August 1957","","http://www.lrb.co.uk/v29/n20/michael-wood/at-the-movies"
"","3.10 to Yuma","directed by James Mangold","","","September 2007","","http://www.lrb.co.uk/v29/n20/michael-wood/at-the-movies"
"","300","directed by Zack Snyder","","","December 2006","","http://www.lrb.co.uk/v29/n08/michael-wood/at-the-movies"
"","A Serious Man","directed by Ethan Cohen and Joel Cohen","","","November 2009","","http://www.lrb.co.uk/v31/n24/michael-wood/at-the-movies"
"","American Gangster","directed by Ridley Scott","","","November 2007","","http://www.lrb.co.uk/v29/n24/michael-wood/at-the-movies"
"","An Anatomy of Economic Inequality in the UK: Report of the National Equality Panel","","Government Equalities Office","457 pp","January 2010","","http://www.lrb.co.uk/v32/n07/stefan-collini/blahspeak"
"","Apocalypse Now Redux","directed by Francis Ford Coppola","","","August 2001","re-release","http://www.lrb.co.uk/v23/n24/michael-wood/just-one-of-those-ends"
"","Arena Homme Plus: ‘The Boys of Summer’","edited by Ashley Heath","Emap East","300 pp","April 2004","","http://www.lrb.co.uk/v26/n11/andrew-ohagan/disgrace-under-pressure"
"","Avatar","directed by James Cameron","","","December 2009","","http://www.lrb.co.uk/v32/n02/michael-wood/at-the-movies"
"","Babel","directed by Alejandro González Iñárritu","","","September 2006","","http://www.lrb.co.uk/v29/n02/michael-wood/at-the-movies"
"","Blindness","directed by Fernando Meirelles","","","November 2008","","http://www.lrb.co.uk/v30/n21/michael-wood/at-the-movies"
"","Building Public Value: Renewing the BBC for a Digital World","","BBC","135 pp","","","http://www.lrb.co.uk/v27/n13/david-edgar/what-are-we-telling-the-nation"
"","Caché","directed by Michael Haneke","","","May 2005","","http://www.lrb.co.uk/v28/n07/michael-wood/at-the-movies"
"","Climate Change 2001: Impacts, Adaptation and Vulnerability","","","","","","http://www.lrb.co.uk/v23/n12/murray-sayle/after-george-w-bush-the-deluge"
"","Climate Change 2007: The Physical Science Basis Summary for Policymakers: Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change","","IPCC","","February 2007","","http://www.lrb.co.uk/v29/n06/john-lanchester/warmer-warmer"
"","Coalition Provisional Authority Inspector General","","","","","","http://www.lrb.co.uk/v27/n13/ed-harriman/where-has-all-the-money-gone"
"","Defense Contract Audit Agency","","","","","","http://www.lrb.co.uk/v27/n13/ed-harriman/where-has-all-the-money-gone"
"","Derain: The London Paintings","","Courtauld Institute","","","","http://www.lrb.co.uk/v27/n24/julian-barnes/always-there"
"","District 9","directed by Neill Blomkamp","","","September 2009","","http://www.lrb.co.uk/v31/n19/michael-wood/at-the-movies"
"","Doctor Who","","BBC1","","","","http://www.lrb.co.uk/v28/n12/jenny-turner/across-the-tellyverse"
"","Draft Report of the 17th Session of the Intergovernmental Panel on Climate Change (IPCC), Nairobi, 4-6 April 2001","","","","","","http://www.lrb.co.uk/v23/n12/murray-sayle/after-george-w-bush-the-deluge"
