"key","value","article"
"person","Abbas, Mahmoud","http://www.lrb.co.uk/v30/n03/henry-siegman/gazas-future"
"person","Acker, Kathy","http://www.lrb.co.uk/v20/n03/peter-wollen/death-and-life-of-the-author"
"person","al-Maliki, Nouri","http://www.lrb.co.uk/v30/n16/patrick-cockburn/who-rules-in-baghdad"
"person","al-Sadr, Muqtada","http://www.lrb.co.uk/v30/n16/patrick-cockburn/who-rules-in-baghdad"
"person","al-Zawahiri, Ayman","http://www.lrb.co.uk/v29/n03/james-meek/the-original-targets"
"person","Amis, Kingsley","http://www.lrb.co.uk/v22/n11/ian-hamilton/sorry-to-go-on-like-this"
"person","Amis, Martin","http://www.lrb.co.uk/v06/n19/nv-rampant/nv-rampant-meets-martin-amis"
"person","Amis, Martin","http://www.lrb.co.uk/v23/n08/thomas-jones/short-cuts"
"person","Amis, Martin","http://www.lrb.co.uk/v24/n12/thomas-jones/short-cuts"
"person","Amis, Martin","http://www.lrb.co.uk/v29/n01/daniel-soar/bile-blood-bilge-mulch"
"person","Arafat, Yasser","http://www.lrb.co.uk/v24/n01/edward-said/is-israel-more-secure-now"
"person","Arafat, Yasser","http://www.lrb.co.uk/v25/n21/virginia-tilley/the-one-state-solution"
"person","Arendt, Hannah","http://www.lrb.co.uk/v29/n01/corey-robin/dragon-slayers"
"person","Atilla the Hun","http://www.lrb.co.uk/v31/n03/michael-kulikowski/bed-hopping-and-coup-plotting"
"person","Auden, W.H.","http://www.lrb.co.uk/v03/n21/barbara-everett/auden-askew"
"person","Auden, W.H.","http://www.lrb.co.uk/v07/n09/alan-bennett/the-wrong-blond"
"person","Auden, W.H.","http://www.lrb.co.uk/v23/n04/frank-kermode/maximum-assistance-from-good-cooking-good-clothes-good-drink"
"person","Auden, W.H.","http://www.lrb.co.uk/v33/n11/michael-wood/i-really-mean-like"
"person","Austen, Jane","http://www.lrb.co.uk/v03/n09/marilyn-butler/jane-austens-latest"
